Figure 1. Global Atmospheric Concentrations of Carbon Dioxide Over Time,,,,,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,,,,
Data source: Compilation of 10 underlying datasets,,,,,,,,,,
Web update: April 2016,,,,,,,,,,
Units: parts per million (ppm) of CO2,,,,,,,,,,
,,,,,,,,,,
Year (negative values = BC),"EPICA Dome C and  Vostok Station,  Antarctica","Law Dome, Antarctica (75-year smoothed)","Siple Station, Antarctica","Mauna Loa, Hawaii","Barrow, Alaska","Cape Matatula,  American Samoa","South Pole, Antarctica","Cape Grim, Australia","Lampedusa Island, Italy","Shetland Islands, Scotland"
-171185,189.4,,,,,,,,,
-170484,190.3,,,,,,,,,
-169401,196,,,,,,,,,
-167542,197.7,,,,,,,,,
-165233,197.8,,,,,,,,,
-162489,196.6,,,,,,,,,
-161748,183.8,,,,,,,,,
-161074,186.7,,,,,,,,,
-160278,190.1,,,,,,,,,
-159729,191.6,,,,,,,,,
-157993,196.5,,,,,,,,,
-157612,204.3,,,,,,,,,
-153863,187.5,,,,,,,,,
-153445,185.5,,,,,,,,,
-152530,189,,,,,,,,,
-149473,200.6,,,,,,,,,
-147971,188.9,,,,,,,,,
-147853,191.9,,,,,,,,,
-146881,203,,,,,,,,,
-143413,196.9,,,,,,,,,
-140108,190.4,,,,,,,,,
-139010,196.4,,,,,,,,,
-138949,195.6,,,,,,,,,
-137667,196.5,,,,,,,,,
-137325,192.3,,,,,,,,,
-136235,190.2,,,,,,,,,
-136032,194.2,,,,,,,,,
-135683,193.4,,,,,,,,,
-135343,194.3,,,,,,,,,
-134705,201.1,,,,,,,,,
-134617,195.8,,,,,,,,,
-134301,202.4,,,,,,,,,
-134061,200.7,,,,,,,,,
-133933,201.7,,,,,,,,,
-133653,198,,,,,,,,,
-133257,198,,,,,,,,,
-133164,200.4,,,,,,,,,
-133010,204.5,,,,,,,,,
-132337,203.7,,,,,,,,,
-132173,208.9,,,,,,,,,
-131477,210.6,,,,,,,,,
-131155,220.3,,,,,,,,,
-131119,223.9,,,,,,,,,
-130542,223.5,,,,,,,,,
-129778,228.9,,,,,,,,,
-129505,240.4,,,,,,,,,
-129379,245,,,,,,,,,
-127786,259,,,,,,,,,
-127702,257.9,,,,,,,,,
-127390,263.4,,,,,,,,,
-127196,264.1,,,,,,,,,
-126916,282.6,,,,,,,,,
-126659,286.8,,,,,,,,,
-126422,287.1,,,,,,,,,
-126394,274,,,,,,,,,
-125957,275.6,,,,,,,,,
-125672,275.3,,,,,,,,,
-125182,262.6,,,,,,,,,
-124936,262.5,,,,,,,,,
-124648,267.1,,,,,,,,,
-124397,273.7,,,,,,,,,
-123484,277.1,,,,,,,,,
-123312,273,,,,,,,,,
-123131,279.7,,,,,,,,,
-122839,266.3,,,,,,,,,
-122307,266.6,,,,,,,,,
-122263,268.7,,,,,,,,,
-121120,276.4,,,,,,,,,
-120394,272.1,,,,,,,,,
-119067,277.6,,,,,,,,,
-118432,265.2,,,,,,,,,
-117722,271.9,,,,,,,,,
-116699,273.7,,,,,,,,,
-115800,267.6,,,,,,,,,
-114551,262.5,,,,,,,,,
-113168,273.2,,,,,,,,,
-112651,274.5,,,,,,,,,
-112146,261.4,,,,,,,,,
-111312,266.3,,,,,,,,,
-109912,256.7,,,,,,,,,
-107854,251.2,,,,,,,,,
-106203,245.6,,,,,,,,,
-105629,238.2,,,,,,,,,
-103686,230.6,,,,,,,,,
-102754,236.9,,,,,,,,,
-101515,228.1,,,,,,,,,
-99799,236.9,,,,,,,,,
-98887,230.8,,,,,,,,,
-97899,225.8,,,,,,,,,
-92403,232,,,,,,,,,
-89299,228.3,,,,,,,,,
-88407,224.2,,,,,,,,,
-85967,208,,,,,,,,,
-84231,217,,,,,,,,,
-83070,214.2,,,,,,,,,
-82066,228,,,,,,,,,
-81383,236.4,,,,,,,,,
-80467,241.1,,,,,,,,,
-78664,230.9,,,,,,,,,
-76233,221.7,,,,,,,,,
-75200,217.1,,,,,,,,,
-71277,229.1,,,,,,,,,
-69099,227.3,,,,,,,,,
-63989,194.9,,,,,,,,,
-62989,191.4,,,,,,,,,
-60909,195.3,,,,,,,,,
-55707,210.4,,,,,,,,,
-55138,221.7,,,,,,,,,
-50432,190.4,,,,,,,,,
-48713,215.7,,,,,,,,,
-47740,210.1,,,,,,,,,
-46904,188.4,,,,,,,,,
-45386,189.3,,,,,,,,,
-41550,209.1,,,,,,,,,
-35521,209.1,,,,,,,,,
-33059,205.3,,,,,,,,,
-28070,191.7,,,,,,,,,
-27113,188.5,,,,,,,,,
-24044,191.6,,,,,,,,,
-20877,189.2,,,,,,,,,
-20065,184.4,,,,,,,,,
-19904,185.7,,,,,,,,,
-19557,186.1,,,,,,,,,
-19307,184.7,,,,,,,,,
-19061,186.5,,,,,,,,,
-18798,186.9,,,,,,,,,
-18552,187.8,,,,,,,,,
-18247,195,,,,,,,,,
-18218,188.2,,,,,,,,,
-18038,188,,,,,,,,,
-17798,190,,,,,,,,,
-17559,188.8,,,,,,,,,
-17397,188.7,,,,,,,,,
-16971,188.3,,,,,,,,,
-16918,192.3,,,,,,,,,
-16878,189.4,,,,,,,,,
-16591,188.6,,,,,,,,,
-16335,187,,,,,,,,,
-15993,189.2,,,,,,,,,
-15859,188.5,,,,,,,,,
-15615,188.5,,,,,,,,,
-15425,191,,,,,,,,,
-15161,193.9,,,,,,,,,
-14920,195.2,,,,,,,,,
-14709,200.8,,,,,,,,,
-14502,202.9,,,,,,,,,
-14310,207.7,,,,,,,,,
-14123,207.5,,,,,,,,,
-13936,214,,,,,,,,,
-13792,219.4,,,,,,,,,
-13620,220.9,,,,,,,,,
-13488,221,,,,,,,,,
-13283,222,,,,,,,,,
-13062,224.5,,,,,,,,,
-12940,225.2,,,,,,,,,
-12775,226.1,,,,,,,,,
-12600,228.4,,,,,,,,,
-12353,228.5,,,,,,,,,
-11998,239.1,,,,,,,,,
-11854,238.6,,,,,,,,,
-11703,238.6,,,,,,,,,
-11592,239.2,,,,,,,,,
-11490,236.4,,,,,,,,,
-11291,237.6,,,,,,,,,
-11140,237.9,,,,,,,,,
-10992,237.3,,,,,,,,,
-10810,238.3,,,,,,,,,
-10692,234.2,,,,,,,,,
-10546,237.6,,,,,,,,,
-10421,237.5,,,,,,,,,
-10172,240.3,,,,,,,,,
-10100,243.2,,,,,,,,,
-10008,246.6,,,,,,,,,
-9946,245.3,,,,,,,,,
-9869,245.3,,,,,,,,,
-9777,250.7,,,,,,,,,
-9726,251.1,,,,,,,,,
-9685,249.7,,,,,,,,,
-9630,250.7,,,,,,,,,
-9519,253.8,,,,,,,,,
-9486,253.9,,,,,,,,,
-9442,255.4,,,,,,,,,
-9388,260.8,,,,,,,,,
-9328,258.8,,,,,,,,,
-9286,265.2,,,,,,,,,
-9251,263,,,,,,,,,
-9186,264,,,,,,,,,
-9137,264.5,,,,,,,,,
-9064,264.2,,,,,,,,,
-8983,264.1,,,,,,,,,
-8945,264.4,,,,,,,,,
-8877,265.3,,,,,,,,,
-8855,265,,,,,,,,,
-8794,264.8,,,,,,,,,
-8671,264.8,,,,,,,,,
-8577,267.6,,,,,,,,,
-8467,265.1,,,,,,,,,
-8344,266,,,,,,,,,
-8259,266.9,,,,,,,,,
-8138,267.5,,,,,,,,,
-8033,264.9,,,,,,,,,
-7959,265.7,,,,,,,,,
-7857,263.4,,,,,,,,,
-7771,264,,,,,,,,,
-7647,264.2,,,,,,,,,
-7586,264.4,,,,,,,,,
-7367,263.8,,,,,,,,,
-7282,263,,,,,,,,,
-7190,260.9,,,,,,,,,
-7142,260.6,,,,,,,,,
-7023,265.2,,,,,,,,,
-6919,263.8,,,,,,,,,
-6834,263.7,,,,,,,,,
-6703,262,,,,,,,,,
-6629,259.3,,,,,,,,,
-6527,260.4,,,,,,,,,
-6437,260.9,,,,,,,,,
-6331,259,,,,,,,,,
-6231,261.8,,,,,,,,,
-6100,260.7,,,,,,,,,
-6040,261.3,,,,,,,,,
-5926,258.3,,,,,,,,,
-5831,259.3,,,,,,,,,
-5741,259.6,,,,,,,,,
-5640,260.8,,,,,,,,,
-5557,259.2,,,,,,,,,
-5463,259.7,,,,,,,,,
-5370,260.4,,,,,,,,,
-5284,260.1,,,,,,,,,
-5162,258.4,,,,,,,,,
-5078,260.7,,,,,,,,,
-4991,263,,,,,,,,,
-4888,262.3,,,,,,,,,
-4763,257.6,,,,,,,,,
-4667,258.1,,,,,,,,,
-4595,262.9,,,,,,,,,
-4484,262.1,,,,,,,,,
-4404,259.4,,,,,,,,,
-4313,261.1,,,,,,,,,
-4181,261.2,,,,,,,,,
-4089,262.7,,,,,,,,,
-4048,263.2,,,,,,,,,
-3905,265.5,,,,,,,,,
-3766,266.7,,,,,,,,,
-3707,260.7,,,,,,,,,
-3612,265.5,,,,,,,,,
-3526,265.9,,,,,,,,,
-3420,267.6,,,,,,,,,
-3324,265.2,,,,,,,,,
-3210,265.3,,,,,,,,,
-3144,267.6,,,,,,,,,
-3054,269.8,,,,,,,,,
-2924,268.6,,,,,,,,,
-2816,269.3,,,,,,,,,
-2753,270.7,,,,,,,,,
-2623,271.5,,,,,,,,,
-2530,269.8,,,,,,,,,
-2424,269.1,,,,,,,,,
-2374,271.1,,,,,,,,,
-2211,271.5,,,,,,,,,
-2146,272.8,,,,,,,,,
-2054,271.6,,,,,,,,,
-1960,271.7,,,,,,,,,
-1840,274.9,,,,,,,,,
-1771,275.4,,,,,,,,,
-1672,271.5,,,,,,,,,
-1573,273,,,,,,,,,
-1503,273.4,,,,,,,,,
-1386,275,,,,,,,,,
-1265,274,,,,,,,,,
-1166,273.1,,,,,,,,,
-1103,276.3,,,,,,,,,
-952,274.6,,,,,,,,,
-856,276.3,,,,,,,,,
-778,274.7,,,,,,,,,
-654,275.3,,,,,,,,,
-586,278.9,,,,,,,,,
-483,273.9,,,,,,,,,
-384,277.9,,,,,,,,,
-262,277.6,,,,,,,,,
-178,276.7,,,,,,,,,
-107,276.7,,,,,,,,,
19,276.9,,,,,,,,,
138,278,,,,,,,,,
217,278.7,,,,,,,,,
312,278.9,,,,,,,,,
398,280,,,,,,,,,
497,279.2,,,,,,,,,
600,277.4,,,,,,,,,
717,278.7,,,,,,,,,
797,277.7,,,,,,,,,
890,279.1,,,,,,,,,
1000,276.6,,,,,,,,,
1010,,279.5,,,,,,,,
1015,,279.6,,,,,,,,
1020,,279.7,,,,,,,,
1025,,279.8,,,,,,,,
1030,,279.9,,,,,,,,
1035,,280,,,,,,,,
1040,,280.2,,,,,,,,
1045,,280.3,,,,,,,,
1050,,280.5,,,,,,,,
1055,,280.7,,,,,,,,
1060,,280.9,,,,,,,,
1065,,281.1,,,,,,,,
1070,,281.3,,,,,,,,
1073,278.4,,,,,,,,,
1075,,281.5,,,,,,,,
1080,,281.7,,,,,,,,
1085,,281.9,,,,,,,,
1090,,282.1,,,,,,,,
1095,,282.3,,,,,,,,
1100,,282.5,,,,,,,,
1105,,282.7,,,,,,,,
1110,,282.9,,,,,,,,
1115,,283,,,,,,,,
1120,,283.2,,,,,,,,
1125,,283.3,,,,,,,,
1130,,283.5,,,,,,,,
1135,,283.6,,,,,,,,
1140,,283.7,,,,,,,,
1145,,283.8,,,,,,,,
1150,,283.9,,,,,,,,
1155,,284,,,,,,,,
1160,,284,,,,,,,,
1165,,284.1,,,,,,,,
1170,,284.1,,,,,,,,
1175,,284.1,,,,,,,,
1180,,284,,,,,,,,
1185,,284,,,,,,,,
1190,,283.9,,,,,,,,
1195,,283.8,,,,,,,,
1196,280.1,,,,,,,,,
1200,,283.6,,,,,,,,
1205,,283.4,,,,,,,,
1210,,283.2,,,,,,,,
1215,,283,,,,,,,,
1220,,282.8,,,,,,,,
1225,,282.5,,,,,,,,
1230,,282.3,,,,,,,,
1235,,282.2,,,,,,,,
1240,,282,,,,,,,,
1245,,281.9,,,,,,,,
1250,,281.9,,,,,,,,
1255,,281.9,,,,,,,,
1260,,282,,,,,,,,
1265,,282.1,,,,,,,,
1270,,282.2,,,,,,,,
1275,,282.3,,,,,,,,
1278,282.2,,,,,,,,,
1280,,282.5,,,,,,,,
1285,,282.6,,,,,,,,
1290,,282.8,,,,,,,,
1295,,282.9,,,,,,,,
1300,,283,,,,,,,,
1305,,283.1,,,,,,,,
1310,,283.2,,,,,,,,
1315,,283.3,,,,,,,,
1320,,283.3,,,,,,,,
1325,,283.2,,,,,,,,
1330,,283.1,,,,,,,,
1335,,282.9,,,,,,,,
1340,,282.7,,,,,,,,
1345,,282.4,,,,,,,,
1350,,282.1,,,,,,,,
1355,,281.8,,,,,,,,
1360,,281.5,,,,,,,,
1365,,281.2,,,,,,,,
1370,,281,,,,,,,,
1375,,280.7,,,,,,,,
1380,,280.5,,,,,,,,
1385,,280.4,,,,,,,,
1390,,280.3,,,,,,,,
1391,281.1,,,,,,,,,
1395,,280.3,,,,,,,,
1400,,280.3,,,,,,,,
1405,,280.4,,,,,,,,
1410,,280.5,,,,,,,,
1415,,280.6,,,,,,,,
1420,,280.7,,,,,,,,
1425,,280.8,,,,,,,,
1430,,280.9,,,,,,,,
1435,,280.9,,,,,,,,
1440,,280.9,,,,,,,,
1445,,280.9,,,,,,,,
1450,,280.8,,,,,,,,
1455,,280.7,,,,,,,,
1460,,280.6,,,,,,,,
1465,277.7,280.6,,,,,,,,
1470,,280.6,,,,,,,,
1475,,280.8,,,,,,,,
1480,,281,,,,,,,,
1485,,281.3,,,,,,,,
1490,,281.6,,,,,,,,
1495,,281.9,,,,,,,,
1500,,282.2,,,,,,,,
1505,,282.5,,,,,,,,
1510,,282.7,,,,,,,,
1515,,282.9,,,,,,,,
1520,,283.1,,,,,,,,
1525,,283.2,,,,,,,,
1530,,283.2,,,,,,,,
1535,,283.2,,,,,,,,
1540,,283.1,,,,,,,,
1545,,283,,,,,,,,
1546,281.9,,,,,,,,,
1550,,282.8,,,,,,,,
1555,279.1,282.6,,,,,,,,
1560,,282.2,,,,,,,,
1565,,281.8,,,,,,,,
1570,,281.2,,,,,,,,
1575,,280.5,,,,,,,,
1580,,279.7,,,,,,,,
1585,,278.8,,,,,,,,
1590,,278,,,,,,,,
1595,,277.1,,,,,,,,
1600,,276.4,,,,,,,,
1605,,275.8,,,,,,,,
1610,,275.5,,,,,,,,
1615,,275.3,,,,,,,,
1620,,275.3,,,,,,,,
1625,,275.4,,,,,,,,
1630,,275.6,,,,,,,,
1635,,275.9,,,,,,,,
1640,,276.1,,,,,,,,
1645,,276.3,,,,,,,,
1650,,276.4,,,,,,,,
1655,,276.5,,,,,,,,
1660,,276.5,,,,,,,,
1665,,276.5,,,,,,,,
1670,,276.4,,,,,,,,
1671,277.9,,,,,,,,,
1675,,276.4,,,,,,,,
1680,,276.4,,,,,,,,
1682,274.9,,,,,,,,,
1685,,276.4,,,,,,,,
1690,,276.5,,,,,,,,
1695,,276.6,,,,,,,,
1700,,276.7,,,,,,,,
1705,,276.8,,,,,,,,
1710,,276.9,,,,,,,,
1715,,277,,,,,,,,
1720,,277,,,,,,,,
1725,,277,,,,,,,,
1730,,277,,,,,,,,
1735,,276.9,,,,,,,,
1740,,276.9,,,,,,,,
1744,,,276.8,,,,,,,
1745,,276.9,,,,,,,,
1750,,277,,,,,,,,
1755,,277.2,,,,,,,,
1760,,277.6,,,,,,,,
1764,,,276.7,,,,,,,
1765,,278,,,,,,,,
1770,,278.6,,,,,,,,
1775,,279.3,,,,,,,,
1780,,280.1,,,,,,,,
1785,,280.8,,,,,,,,
1790,,281.6,,,,,,,,
1791,,,279.7,,,,,,,
1795,,282.3,,,,,,,,
1800,,282.9,,,,,,,,
1805,,283.4,,,,,,,,
1810,,283.8,,,,,,,,
1813,280.4,,,,,,,,,
1815,,284,,,,,,,,
1816,,,283.8,,,,,,,
1820,,284.2,,,,,,,,
1825,,284.3,,,,,,,,
1830,,284.4,,,,,,,,
1835,,284.5,,,,,,,,
1839,,,283.1,,,,,,,
1840,,284.6,,,,,,,,
1843,,,287.4,,,,,,,
1845,,284.8,,,,,,,,
1847,,,286.8,,,,,,,
1850,,285.2,,,,,,,,
1854,,,288.2,,,,,,,
1855,,285.7,,,,,,,,
1860,,286.3,,,,,,,,
1865,,287.2,,,,,,,,
1869,,,289.3,,,,,,,
1870,,288.2,,,,,,,,
1874,,,289.5,,,,,,,
1875,,289.4,,,,,,,,
1878,,,290.3,,,,,,,
1880,,290.8,,,,,,,,
1885,,292.3,,,,,,,,
1887,,,292.3,,,,,,,
1890,,293.7,,,,,,,,
1895,,295.2,,,,,,,,
1899,,,295.8,,,,,,,
1900,,296.7,,,,,,,,
1903,,,294.8,,,,,,,
1905,,298.2,296.9,,,,,,,
1909,,,299.2,,,,,,,
1910,,299.9,,,,,,,,
1915,,301.5,300.5,,,,,,,
1920,,303.2,,,,,,,,
1921,,,301.6,,,,,,,
1925,,304.9,,,,,,,,
1927,,,305.5,,,,,,,
1930,,306.5,,,,,,,,
1935,,308,306.6,,,,,,,
1940,,309.3,,,,,,,,
1943,,,307.9,,,,,,,
1945,,310.5,,,,,,,,
1950,,312,,,,,,,,
1953,,,312.7,,,,,,,
1955,,314.1,,,,,,,,
Direct Measurements,,,,,,,,,,
1959,,,,315.97,,,,,,
1960,,316.9,,316.91,,,,,,
1961,,,,317.64,,,,,,
1962,,,,318.45,,,,,,
1963,,,,318.99,,,,,,
1964,,,,319.62,,,,,,
1965,,320.5,,320.04,,,,,,
1966,,,,321.38,,,,,,
1967,,,,322.16,,,,,,
1968,,,,323.04,,,,,,
1969,,,,324.62,,,,,,
1970,,324.7,,325.68,,,,,,
1971,,,,326.32,,,,,,
1972,,,,327.45,,,,,,
1973,,,,329.68,,,,,,
1974,,,,330.18,333.7618333,,,,,
1975,,329.4,,331.08,333.6116667,,,,,
1976,,,,332.05,333.3510833,331.45575,329.7715,,,
1977,,,,333.78,334.7231667,332.6333,331.6089167,,,
1978,,,,335.41,336.7908333,,333.3290909,,,
1979,,,,336.78,337.9083333,336.2990909,,,,
1980,,,,338.68,339.9141667,338.0191667,337.0783333,,,
1981,,,,340.1,341.8566667,339.1333333,338.4483333,,,
1982,,,,341.44,342.9025,340.26,339.8525,,,
1983,,,,343.03,344.155,341.71,341.1436364,,,
1984,,,,344.58,346.1258333,343.485,342.6458333,,,
1985,,,,346.04,346.9675,344.7225,343.975,,,
1986,,,,347.39,348.6641667,346.1033333,345.37,,,
1987,,,,349.16,349.9308333,347.805,346.9741667,,,
1988,,,,351.56,353.195,350.1391667,348.9708333,,,
1989,,,,353.07,355.1666667,351.5416667,350.6091667,,,
1990,,,,354.35,355.9216667,352.918,351.8941667,,,
1991,,,,355.57,357.7533333,354.1608333,352.9116667,,,
1992,,,,356.38,357.8608333,355.0575,354.2766667,354.07,,
1993,,,,357.07,358.1116667,355.8716667,355.1125,354.87,360.8,356.89
1994,,,,358.82,360.005,357.5783333,356.5508333,356.32,361.23,358.62
1995,,,,360.8,362.2608333,359.5708333,358.4041667,358.31,363.22,360.59
1996,,,,362.59,364.1466667,361.1141667,360.0441667,359.8,363.66,362.7
1997,,,,363.71,365.0608333,362.21,361.42,361.13,364.83,363.99
1998,,,,366.65,367.7483333,364.715,363.8708333,363.6,367.98,366.06
1999,,,,368.33,369.3766667,367.1125,365.785,365.54,370.83,368.31
2000,,,,369.52,371.1808333,368.4808333,367.1241667,366.82,371.86,369.13
2001,,,,371.13,372.6166667,369.8283333,368.7191667,368.33,,370.97
2002,,,,373.22,374.1618182,372.0125,370.7583333,370.5,,372.34
2003,,,,375.77,377.2891667,374.1041667,373.0483333,372.78,,
2004,,,,377.49,378.6591667,376.0691667,374.8958333,374.66,,
2005,,,,379.8,381.0408333,378.05,376.7433333,376.61,,
2006,,,,381.9,383.4258333,379.9591667,378.6691667,378.5,,
2007,,,,383.76,384.9583333,382.0941667,380.6825,,,
2008,,,,385.59,387.4083333,383.85,382.7141667,,,
2009,,,,387.37,388.2683333,385.5183333,384.22,,,
2010,,,,389.85,390.8208333,387.5027273,386.105,,,
2011,,,,391.63,393.1108333,389.58,387.9875,,,
2012,,,,393.82,394.94,391.5666667,390.0608333,,,
2013,,,,396.48,397.9566667,394.32,392.8066667,,,
2014,,,,398.61,399.8516667,396.1375,394.8225,,,
2015,,,,400.83,,,,,,
